Experiment 1:
--------------------QuadProbeHashTable add() with a bad hashfunctor--------------------
N	T(N)	|	T(N)/1		T(N)/logN		T(N)/N		T(N)/NlogN		T(N)/N^2
30000	3670E-1	|	2468E-2		1223E-5		8225E-7		4078E-10		1999E-10
40000	3470E-1	|	2270E-2		8675E-6		5674E-7		2169E-10		5012E-10
50000	3980E-1	|	2550E-2		7960E-6		5099E-7		-2217E-10		-5466E-10
60000	4380E-1	|	2759E-2		7300E-6		4599E-7		-6302E-10		2434E-10
70000	3350E-1	|	2081E-2		4786E-6		2973E-7		5537E-10		-8742E-10
80000	3710E-1	|	2278E-2		4638E-6		2847E-7		1762E-10		2983E-10
90000	3510E-1	|	2133E-2		3900E-6		2370E-7		-7164E-10		-1774E-10
100000	3630E-1	|	2185E-2		3630E-6		2185E-7		2574E-10		-2372E-10
110000	6310E-1	|	3768E-2		5736E-6		3425E-7		-8039E-10		-3555E-10
120000	3980E-1	|	2359E-2		3317E-6		1966E-7		2627E-10		2631E-10
130000	3750E-1	|	2207E-2		2885E-6		1698E-7		-1340E-9		-1150E-9
140000	4300E-1	|	2515E-2		3071E-6		1797E-7		-2294E-10		3498E-10
150000	4100E-1	|	2384E-2		2733E-6		1590E-7		3999E-10		2260E-10
160000	3670E-1	|	2123E-2		2294E-6		1327E-7		-2161E-9		2701E-10
170000	3900E-1	|	2245E-2		2294E-6		1320E-7		-3348E-10		-1903E-9
180000	5880E-1	|	3368E-2		3267E-6		1871E-7		-3000E-10		4363E-10
190000	5640E-1	|	3216E-2		2968E-6		1693E-7		3241E-10		3412E-10
200000	3980E-1	|	2260E-2		1990E-6		1130E-7		2958E-10		6210E-10
--------------------ChainingHashTable contains() with Java's hashfunctor--------------------
N	T(N)	|	T(N)/1		T(N)/logN		T(N)/N		T(N)/NlogN		T(N)/N^2
10000	6270E-1	|	4719E-2		6270E-5		4719E-6		6270E-9		-8620E-10
20000	8400E-1	|	5879E-2		4200E-5		2940E-6		2100E-9		-5512E-10
30000	9110E-1	|	6125E-2		3037E-5		2042E-6		1012E-9		4963E-10
40000	5960E-1	|	3899E-2		1490E-5		9746E-7		3725E-10		8609E-10
50000	3710E-1	|	2377E-2		7420E-6		4753E-7		-2067E-10		-5095E-10
60000	4730E-1	|	2980E-2		7883E-6		4967E-7		-6806E-10		2628E-10
70000	3230E-1	|	2007E-2		4614E-6		2867E-7		5339E-10		-8428E-10
80000	2560E-1	|	1572E-2		3200E-6		1965E-7		1216E-10		2059E-10
90000	3820E-1	|	2321E-2		4244E-6		2579E-7		-7797E-10		-1930E-10
100000	3110E-1	|	1872E-2		3110E-6		1872E-7		2206E-10		-2032E-10
110000	5090E-1	|	3039E-2		4627E-6		2763E-7		-6485E-10		-2867E-10
120000	3590E-1	|	2128E-2		2992E-6		1773E-7		2369E-10		2373E-10
130000	4300E-1	|	2531E-2		3308E-6		1947E-7		-1536E-9		-1319E-9
140000	4770E-1	|	2790E-2		3407E-6		1993E-7		-2544E-10		3881E-10
150000	4460E-1	|	2594E-2		2973E-6		1729E-7		4351E-10		2459E-10
160000	4770E-1	|	2759E-2		2981E-6		1724E-7		-2809E-9		3510E-10
170000	3070E-1	|	1767E-2		1806E-6		1039E-7		-2636E-10		-1498E-9
180000	4180E-1	|	2394E-2		2322E-6		1330E-7		-2133E-10		3102E-10
190000	4460E-1	|	2543E-2		2347E-6		1339E-7		2563E-10		2698E-10
